title,content,date,image,date2
Fundraising Effort,"""Over the month of May and early June 2018, I worked with Steve Bonnar (Director of Sojourners' Alliance), Lysa Salsbury (Director of UI Women's Center), and Anne Zabala (Council Member of Moscow City Council) to raise funds for Syringa residents to help fill in any funding gaps not covered by the government programs Steve Bonnar and Sojourners' staff manage to prevent homelessness in Moscow. Here is one of the later posts regarding our progress seeking donations:  $3,650 raised since last Wednesday, May 23rd! Add the $500 that the Latah County Human Rights Commission is donating, and we've got $6,150 out of the $7,000 goal for our online fundraising campaign. We are meeting again Wednesday morning to figure out how to distribute funds to families. Their final day to move out is June 5th, a week from today.
How have donations helped families so far? One family has money to cover the moving truck rental to get their belongings to northern California. Another family that is trying to fix up their new house that needs lots of TLC has money for construction materials. Two families have money now to cover lot rent for the next month, as well as deposits. Others are now able to avoid late bill payment as they shift all their money to moving. 
What you can't measure is the feeling that people care. 
Thank you, everyone.
Donations can still be made here so we can reach our $7,000 online"" ","May 29, 2018",doublewidemovemay2018,2018-05-29
Urgent Help!,"I am working with residents moving out of Syringa Mobile Home Park, who need to be out of the park by the end of June 5th before the park closes. One resident has a fine mobile home and ALMOST everything has checked out for rehab inspection (a special type of home inspection for mobile homes built before 1976). He is, though, having an impossible time figuring out how to get a plumbing inspection. Local plumbing companies don't typically do this work - he has contacted about a dozen of so businesses already in Moscow, Troy, and Pullman. People say that mobile home moving companies may have an idea. I am checking to see if any of you might have any ideas, in case some of you have had to move a home or know someone who is in this line of work. Would greatly appreciate your expert tips! (below is a photo of the home - I posted on behalf of the same home owner a week or so ago)","May 30, 2018",urgenthomemovemay302018,2018-05-30
Update #1 from Syringa Mobile Home Park,"Scott Morrison, LCSC 2018 graduate, is officially a homeowner in a new park in Moscow. Here is a photo he took following his house en route to his new roosting spot. There are success stories amidst all the chaos in Syringa Mobile Home Park, three miles outside of Moscow, Idaho.","May 30, 2018",scotthomemay302018,2018-05-30
Update #2 from Syringa Mobile Home Park,"It was late at night, September 9, 2016, when Denise James found this giant salamander in her yard. Has the sewage lagoon become a special habitat for these? One wonders - maybe someone from WSU or UI knows? Check out Denise's photo below. P.S., We officially deactivated our online fundraising campaign this morning. Thanks, everyone. So far, we have distributed over $9,000 to 28 families moving out of Syringa. We will continue to keep in touch with people to make sure they safely move from Syringa.","May 31, 2018",giantsalamandersept92016,2018-05-31
"Shoutout from Anne Zabala, Moscow City Councilor","A huge shoutout to Leontina Hormel and Lysa Haskell Salsbury for their leadership in raising funds to help with the relocation efforts for Syringa residents. Together we raised almost all of the $7,000 goal for the online fundraising campaign. With staff members from Sojourners' Alliance, our committee met again to talk about how to distribute these donations in a fair and equitable way, and once again I have been blown away by the generosity of our community. However, I hope this is an important first step towards having a broader conversation about possible ways to prevent this kind of situation from happening again. (Photo, left-to-right: Janna Jones, Leontina Hormel, Steve Bonnar, and Cliff McAleer)","May 31, 2018",fundmeetingmay312018,2018-05-31
Update #3 from Syringa Mobile Home Park,"I met Dawn Trottier out at Syringa with my husband Chris Nordenyesterday late afternoon (May 31, 2018). Dawn and her mother - Cookie Grandma - made rounds around the park with platters of cookies to share with residents and kids, as they pack and haul belongings. Aimee's double-wide is finally getting ready to be transported to a mobile home park in Moscow (it takes a long time to get movers in the park, even once they are set up to move you) and I will find out today if her home is now officially out of the park. Another home was sold and is in the midst of being hauled out, too. As people are moving out, the park is turning into a mess of abandoned homes and belongings. Yet, so many families are still trying to pack up so they can leave, too. I figured out yesterday -- thanks to Dawn helping me put two-and-two together -- that families are going without food as they piece together finances for moving. I need to check in with local grocery stores to see if there is any chance of getting some food to take out to the park. If you have tips for doing this swiftly (today or early tomorrow), it would be nice to make sure people have a little bit of food out there. Of course, any organization willing to take food to Syringa would be welcomed! June 5th is Syringa's last day. UPDATE 3 p.m. Friday: Vandal Food Pantry at UI donated several boxes of food for residents. BIG THANK YOU to ASUI Center for Volunteerism and Social Action.","June 1, 2018",lt&dawnjune12018,2018-06-01
Update #4 from Syringa Mobile Home Park,"Aimee's double-wide was moved out of Syringa late into the night Friday, June 1st. While there is still some maneuvering to do, looks like Aimee has a new location for her home and a view of the famous Palouse rolling hills. In other news, Dawn Trottier, Chris Norden, and I joined about 50 or so Latah County constituents to ask Senator Crapo questions. Dawn gave an intimate description of the damages residents have experienced, and how finding affordable housing in their beloved Latah County is near impossible with only 6 months to do it. It was beautifully articulated and straight from the heart. The three of us then drove bags of groceries, most of which was donated by ASUI's Center for Volunteerism and Social Action (thank you, Kaela Watson), to Syringa. People just don't have time or money to get rations for the upcoming days as they pack, haul belongings, and problem solve. Syringa was buzzing with a lot of hard work and a lot of tears. Many worry that June 5 is an undoable departure date for some families. Nobody knows what will happen to any of their belongings or homes after June 5th, even though they still need access to them to move completely. 
The photo captures Aimee's home arriving at its new site late at night, compliments of Dawn.","June 2, 2018",aimeehomejune22018,2018-06-02
Update #5 from Syringa Mobile Home Park,"Today is June 5, 2018, the final day Syringa is open as a community. What I have heard from legal counsel is that residents will not be legally cited for trespassing after today, so long as it is evident they are making progress toward moving out completely. It also sounds like there are plans to shut off the water June 6. When talking with residents yesterday out at Syringa, the possibility of going without water, while trying to guard their homes from scavengers, was distressing. Once again, at no fault of their own, residents may have to figure out ways to get water to drink, bathe, and flush their toilets as they wait for movers and housing plans to fall into place. Many of those still stuck in the park are simply trying to get mobile homes to their lots - so moving schedules or inspections are holding them up.  Some may ask why they didn't make these plans earlier. I give you at least three combined factors to explain the timing of moving mobile homes: 1) residents weren't sure if they were going to have any money from the bankruptcy settlement until payouts were distributed starting on March 19, 2018. 2) Syringa is located in a marshy area that is muddy through April and May. The first mobile home wasn't moved out until the second week of May, and this happened only after several failed attempts because trucks kept sinking into the mud. 3) Mental conditioning - Mr. Magar - the owner - has threatened to close before (though not with a legal notice), so residents held out hope that this really wasn't going to happen. These dimensions, plus all of the multiple challenges built into the experiences of each household, affected people's ability to plan ahead.   I add this response because I have heard different individuals remark over the past week that people in Syringa didn't plan well, which insinuates that they are the problem. Let's get this straight, especially on the last day Syringa is open, that they didn't create this mess. They paid their lot rents and followed the rules. The park owner is the one who let us down. The courts agreed, otherwise there would have been no payouts to residents. ","June 5, 2018",,2018-06-05
Update #5.5 from Syringa Mobile Home Park,"Dawn Trottier and I brought sandwiches, cookies, and sodas out to the last remaining households still in various stages of moving out of the park. By my count, there are four more mobile homes waiting to move (one in progress, one this Saturday (believe it when it see it), one scheduled for June 14, and yet another that is stalled in planning). Two or three households will be temporarily sheltered in area motels, then housed when apartments are available. Three plan to rehouse in RV parks in the area. One resident is moving to land and then building a house out of the scraps pulled off their trailer (an effort to leave the park owner nothing of resale value). Two or three have no destination settled yet. That's about 11 households that are in flux and, word has it, will have no water or even electricity starting tomorrow, June 6.   A few past residents came out to check in with their neighbors, or what some described as their ""extended family members."" These same folks said, despite being rehoused very nicely, they would move back to be in Syringa -- they miss the community. I felt so lucky to have time with everyone, spending about four hours taking time to hear everyone's stories, worries, and hopes.   That said, there are loads of feral cats that some are worried about leaving out. Organizations know about this and, themselves, concerned about contagious diseases feral cats may carry. One cat plucks my heartstrings big-time. She may need a home (see that lovely cutie pictured below). Her owner has a couple options that he hopes will work. But, if not, she needs a forever home. I can't take her in, despite my love for calico kitties. Anyone interested, if indeed she needs a loving home? Guaranteed loving and friendly companion.","June 5, 2018",kittyjune52018,2018-06-05
Update #6 from Syringa Mobile Home Park,"Yesterday was the first day Syringa was officially closed. By my count, ten residents are still housed in the park. Five are single women, who are waiting for mobile homes to be moved (2), waiting for paperwork to move into an apartment (1), or are still uncertain what to do (1). Another woman is moving with her family to a parcel of land and trying to build a home from scratch. Five are single men, who are waiting for mobile homes to be moved (3), waiting to get things moved out to then be formally considered ""homeless"" so he can get housed (1), and another waiting to see where the winds take him (1). All are placing their best foot forward to leave the lives they have known out at Syringa, a community that had worked for them and met their needs until June 5.   People have been confused about the status of services and how the trustee for the property will proceed in closing the park. Will he tell Avista to turn the power off this week? What about the water? Will residents be arrested for trespassing?
Yesterday, I spoke with the Sheriff's Department, and they are only interested in monitoring criminal activity to ensure safety for those who are still trying to get moved. In talking with an Avista representative, no orders have been made yet to turn off power and there are hopes in the offices that this request is not issued before everyone is out. No power could put resident's lives at undue risk. Nobody has a clear answer about how the park will be enclosed after residents are all moved. One service that has been removed is garbage removal - all of the residents' trash bins were removed last Friday, June 1.                                                                                                                                                                                                                                                           The park yesterday was very empty and quiet. I spoke with a few folks still out there, and in some ways it felt a little more peaceful - even as people bear even greater pressure to get out. More reports ahead, as our neighbors work to leave that place called Syringa Mobile Home Park, three miles outside Moscow, Idaho...","June 7, 2018",june7street2018,2018-06-07
