title,author,subjects,date,description,link,original_link,photo_filename,type,category
Syringa Story Map,"Rodriguez, Denessy; Smith, Joe",eviction; water issues,2018-11-14,"As part of her University of Idaho CDIL fellowship, Denessy Rodriguez created a Story Map using Esri software to detail the story of Syringa and compare it against national trends. The Story Map includes a timeline of the park, photos of the park, and Idaho and national maps. ",https://uidaho.maps.arcgis.com/apps/Cascade/index.html?appid=a459d05f5e2c4b5c9cd9e535e0c4afaa,Optional for news articles,syringacover.jpg,syringa,research
Syringa Short Documentary,Isabel Robles; Denessy Rodriguez; Cynthia Ballesteros,,2018,"In 2018, Isabel Robles, Denessy Rodriguez, and Cynthia Ballesteros, three undergradate students at the University of Idaho, collaberated to create a ten minute video detailing the park closure announcement. This video was displayed at the event ""Syringa Speaks,"" where Syringa residents were given the oppurtunity to share their story with the community. ",https://youtu.be/Cfp205Je3D0,,docu.jpg,idaho,related
"Syringa Property Value, 1999-2015",Lincoln Smith,,,"By former University of Idaho undergraduate student, Lincoln Smith. This graph displays the property values of Syringa Mobile Home Park lots, and shows their deep decline from 2013 and on, correlating with many of the water problems. ",,,propertyvalue_graph.jpg,elsewhere,related
Syringa Speaks,,,2018-01-29,"On January 29, 2018, the University of Idaho Sociology Department hosted an open forum that offered Syringa residents the oppurtunity to speak about the issues they were experiencing. Three residents, James Ware, Dawn Tachell, and Bob Bonsall volunteered to participate.  Photography and site page provided by Tom Hansen and the organization Moscow Cares.",http://www.moscowcares.net/,,syringaspeaks.jpg,,related
"After Years of Neglect, Mobile Home Park to Close",Staff Report,,2018-05-25,Moscow-Pullman Daily News details the closure of Syringa. Writer of article is not specified.,http://dnews.com/local/after-years-of-neglect-mobile-home-park-to-close/article_0cd2c5b0-6ef6-522f-a85e-a715496b70e7.html,,closure.jpg,,news
The Stigma Surrounding Syringa,Garrett Cabeza,,2018-05-25,"Moscow-Pullman Daily News chronicals the reputation that Syringa has had in the Moscow community. The article interviews Principal Investegator, Leontina Hormel. Written by Garrett Cabeza. ",http://dnews.com/local/the-stigma-surrounding-syringa/article_f00c1c1d-f2f5-52cf-869e-cfe939af4a81.html,,stigma.jpg,,news
Syringa Eviction,Taylor Viydo,eviction,2018-04-02,Krem News details the closure of Syringa. Written by Taylor Viyodo.,https://www.krem.com/article/news/local/latah-county/residents-forced-to-move-from-moscow-mobile-home-park-following-settlement-over-bad-water/293-534361013,,strippedhome2.jpg,,news
Searching for somewhere to go,Josh Babcock,eviction,2018-03-01,The Lewiston Tribune featured an article describing the closure of the park and the process of finding a new place to live. Written by Josh Babcock.,https://lmtribune.com/northwest/searching-for-somewhere-to-go/article_f2fe6c3b-87d8-5980-85cd-28adb20ad6af.html,,lmtribune.jpg,,news
Everybody Has a Voice,Andrea Levere,community alternatives,2017-02-10,"Prosperity Now, a non-profit organization located in Washington DC, used the NPR article about Syringa to highlight the importance of cooperatively owned mobile home parks and the different organizations that make it possible. Written by Andrea Levere. ",https://prosperitynow.org/blog/everybody-has-voice-transforming-niche-ideas-thriving-communities,,privateprop.jpg,,news
Syringa on NPR,Daniel Zwerdling,syringa,2016,The story of Syringa was featured on an NPR two-part report on conditions at mobile home parks in the US. The article focuses on what happens when park owners fail to take care of their communities. Written by Daniel Zwerdling.,https://www.npr.org/2016/12/26/502590161/mobile-home-park-owners-can-spoil-an-affordable-american-dream,,nprdawn.jpg,,news
